item,itemLabel,iso639_2,iso639_1
Q1767941,Arrernte,,
Q1775361,Gondi,gon,
Q1785111,Mohawk Dutch,,
Q1815830,Negerhollands,dcr,
Q1843468,Caribbean Hindustani,hns,
Q1957108,Winnebago,win,
Q1975271,Taivoan,tvx,
Q2044560,Sylheti,syl,
Q2092246,Wik-Mungkan,wim,
Q2097387,Welsh-Romani,rmw,
Q2225391,Adnyamathanha,adt,
Q2331560,Kangri,xnr,
Q2356364,Bagheli,bfy,
Q2356391,Aka-Bea,abj,
Q2360396,Balkan Gagauz,bgx,
Q2383208,Kinnauri,kfk,
Q2392342,Gurung,gvr,
Q2426319,Bagri,bgq,
Q2449549,Palula,phl,
Q2495696,Lomavren,rmi,
Q2511476,Tày,tyz,
Q2522153,Skepi Creole Dutch,skw,
Q2591262,Kalau Lagau Ya,mwp,
Q2605045,Kamkata-viri,bsh,
Q2613465,Tetela,tll,
Q2614111,Khetrani,xhe,
Q2640637,Parachi,prc,
Q2665246,Torwali,trw,
Q2669169,Kristang,mcm,
Q2669199,Vlax Romani,rmy,
Q2669254,Cofán,con,
Q2670418,Aka-Cari,aci,
Q2719893,Javindo,jvd,
Q2726867,Kannauji,bjj,
Q2727930,Tangut,txg,
Q2756709,Korana,kqz,
Q2880037,West Coast Bajau,bdr,
Q2917968,Omaha–Ponca,oma,
Q2919121,Aka-Jeru,akj,
Q2922261,Bourbonnais,,
Q2925988,Brokskat,bkk,
Q2992857,Mewari,mtr,
Q3041552,Ida'an,dbj,
Q3065432,Hunde,hke,
Q3110592,written Chinese language,,
Q3111668,Gun,guw,
Q3111827,Semelai,sza,
Q3114653,Ngazidja Comorian,zdj,
Q3138829,Hmong Daw,mww,
Q3182878,Brunei Malay,kxd,
Q3183144,Malecite-Passamaquoddy,pqm,
Q3195442,Kerinci,kvr,
Q3200721,Kuvi,kxv,
Q3217514,Rwanda-Rundi,,
Q3241177,Rohingya,rhg,
Q3241618,Rangpuri,rkt,
Q3241731,Gujari,gju,
Q3246741,Aer,aeq,
Q3250629,Chilisso,clh,
Q3298041,Ngan’gityemerri,nam,
Q3303475,Mbabaram,vmb,
Q3307894,Hmong,hmn,
Q3309366,Sansi,ssi,
Q3327389,Alyawarr,aly,
Q3327828,Mundari,unr,
Q3350576,Hajong,haj,
Q3362072,Digo,dig,
Q3397371,Tanapag,tpv,
Q3433680,Aka-Kora,ack,
Q3436784,Aka-Kol,aky,
Q3436816,Aka-Kede,akx,
Q3436825,Akar-Bale,acl,
Q3436832,Oko-Juwoi,okj,
Q3438770,Karai-karai,kai,
Q3444203,Nangalami,nli,
Q3450443,Ibatag,bya,
Q3474654,Savi,sdg,
Q3478238,Sumi,nsm,
Q3502264,Lagwan,kot,
Q3504186,Babalia Creole Arabic,bbz,
Q3504233,Piscataway,psy,
Q3507928,Aranadan,aaf,
Q3507954,Abaga,abg,
Q3508123,Andegerebinha,adg,
Q3510366,Hadhrami Arabic,ayh,
Q3515311,North Azerbaijani,azj,
Q3537122,Sri Lankan Portuguese Creole,,
Q3695193,Kurtöp,xkz,
Q3695692,Halbi,hlb,
Q3812403,Gowro,gwf,
Q3812406,Tirahi,tra,
Q3812564,Bateri,btv,
Q3877551,Kalkoti,xka,
Q3877569,Wotapuri-Katarqalai,wsv,
Q3906614,Meadow Mari,mhr,
Q3912765,Tyap,kcg,
Q3913823,Warlmanpa,wrl,
Q3914383,Polci,plj,
Q3914431,Saya,say,
Q3915357,Pular,fuf,
Q3915429,Shekhawati,swv,
Q3915562,Kharia,khr,
Q4126517,Eastern Canadian Inuktitut,ike,
Q4356243,Mag-antsi,sgb,
Q4419262,Sillan,,
Q4426878,Soyot,,
Q4699526,Achomi,lrl,
Q4873579,Bauria,bge,
Q4883496,Bellari,brw,
Q4900565,Bhadrawahi,bhd,
Q4901287,Bhariati,bha,
Q4901452,Bhateali,bht,
Q4913707,Bimbashi Arabic,,
Q4943150,Bookan,bnb,
Q5045611,Carpathian Romani,rmc,
Q5055514,Cazcan,,
Q5060224,Central !Kung,,
Q5072718,Chaná,,
Q5150795,Bushi,buc,
Q5232952,Taíno,tnq,
Q5286559,Dobel,kvo,
Q5317225,Kadazandusun,dtp,
Q5326738,Early Scots,,
Q5515391,Gubbi Gubbi,gbw,
Q5520523,Gana’,gnq,
Q5564288,Girirra,gii,
Q5583349,Dogri-Kangri-Bhateali,doi,
Q5589999,Gowar,,
Q5620032,Gurgula,ggg,
Q5637049,Hachijō dialects,,
Q6089423,Isu,isu,
Q6147825,Jaminjung,djd,
Q6150941,Jandavra,jnd,
Q6164857,Jaunsari,jns,
Q6350003,Kalabakan,kve,
Q6380709,Kaytetye,gbb,
Q6389308,Keningau Murut,kxi,
Q6400661,Kharia Thar,ksy,
Q6403085,Khuri,,
Q6425038,Koda,cdz,
Q6443148,Kullui,kfx,
Q6444265,Kundal Shahi,shd,
Q6446173,Kudmali,kyw,
Q6528669,Nakanai,nak,
Q6693295,Lower Arrernte,axl,
Q6733460,Mahasu Pahari,bfz,
Q6744930,Maltralian,,
Q6747931,Mandeali,mjl,
Q6786047,Matanawi,,
Q6786446,Matengo,mgv,
Q6850761,Milang,,
Q7040750,Romî,,
Q7049771,Noongar,nys,
Q7077191,Od,odk,
Q7082487,Okolod,kqv,
Q7124567,Pahlavni,phv,
Q117212055,Laghmani,,
Q117212080,Gulbahari,,
Q117212095,Shutuli,,
Q117273410,Old Kerinci,,
Q120487727,Jōmon,,
Q122147087,Uzbini,,
Q122150440,Kurangali,,
Q122150744,Chilasi,,
Q122150853,Darra-i Nuri,,
Q123415814,Ili Salar,,
Q123418610,Sanskritisation,,
Q123964178,Muslim Tat,ttt,
Q124462346,Kiw’oso,,
Q126402610,Old Franconian,,
Q129175402,Tona,,
Q129341007,Birihnbal,,
Q129357225,Wegali,,
Q130425020,Old Bengali,,
Q131427136,Bagirmi Arabic,,
Q131438764,Eastern/Central Arrernte,,
Q7128795,Paluan,plz,
Q7187109,Phom,nph,
Q7260479,Puno Quechua,qxp,
Q7268120,Qormi dialect,,
Q7278686,Rabha,rah,
Q7288630,Rama Cay Creole,,
Q7395820,Sabah Bisaya,bsy,
Q7448844,Selungai Murut,slg,
Q7449148,Sembakung,sbr,
Q7500203,Sholaga,sle,
Q7508824,Sidi,,
Q7530505,Sirmauri,srx,
Q7599417,Andaman Creole Hindi,hca,
Q7645351,Surjapuri,sjp,
Q7807680,Timugon,tih,
Q7998197,Wichí Lhamtés Güisnay,mzh,
Q8048020,Yambeta,yat,
Q8083168,Żejtun dialect,,
